SMILES,Protein,ChEMBL ID,Name,canonical_smiles,Molecular Weight,LogP,HBA,HBD,TPSA,target_chembl_id,binding_affinity,standard_type,standard_value,standard_units,not_measured
Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccnc4)c3)c12,Epidermal growth factor receptor,CHEMBL394463,,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccnc4)c3)c12,355.41,3.57,7.0,1.0,72.93,CHEMBL203,5.75,IC50,1800.0,nM,0
Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccnc4)c3)c12,Vascular endothelial growth factor receptor 2,CHEMBL86531,,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccnc4)c3)c12,355.41,3.57,7.0,1.0,72.93,CHEMBL279,0.0,,,,1
Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccnc4)c3)c12,Estrogen receptor,CHEMBL44,,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccnc4)c3)c12,355.41,3.57,7.0,1.0,72.93,CHEMBL206,0.0,,,,1
N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,Epidermal growth factor receptor,CHEMBL432428,,N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,340.4,2.92,5.0,3.0,107.34,CHEMBL203,6.19,IC50,640.0,nM,0
N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,Epidermal growth factor receptor,CHEMBL432428,,N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,340.4,2.92,5.0,3.0,107.34,CHEMBL203,5.52,IC50,3000.0,nM,0
N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,Epidermal growth factor receptor,CHEMBL432428,,N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,340.4,2.92,5.0,3.0,107.34,CHEMBL203,6.03,IC50,940.0,nM,0
N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,Vascular endothelial growth factor receptor 2,CHEMBL86531,,N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,340.4,2.92,5.0,3.0,107.34,CHEMBL279,0.0,,,,1
N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,Estrogen receptor,CHEMBL44,,N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O,340.4,2.92,5.0,3.0,107.34,CHEMBL206,0.0,,,,1
Cc1cccc(Nc2ncnc3ccncc23)c1NCCCCN(C)C,Epidermal growth factor receptor,CHEMBL271587,,Cc1cccc(Nc2ncnc3ccncc23)c1NCCCCN(C)C,350.47,3.83,6.0,2.0,65.97,CHEMBL203,8.26,IC50,5.495,nM,0
Cc1cccc(Nc2ncnc3ccncc23)c1NCCCCN(C)C,Vascular endothelial growth factor receptor 2,CHEMBL86531,,Cc1cccc(Nc2ncnc3ccncc23)c1NCCCCN(C)C,350.47,3.83,6.0,2.0,65.97,CHEMBL279,0.0,,,,1
